,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
0,bandicoot.sol,1.0,0.08,543.7,0.11
1,H-Xvry,1.0,0.02,1527.14,0.13
2,DaddyNoel,1.0,0.1,651.08,0.09
3,Slavi,1.0,0.02,575.79,0.13
4,Sir-Boba,1.0,0.09,426.39,0.13
5,jsw,1.0,0.15,2688.33,0.13
6,Mitchell Unknown,1.0,0.13,506.0,0.13
7,Migue,1.0,0.01,208.89,0.11
8,mXm,1.0,0.07,119.15,0.13
9,ChiRho,1.0,0.17,215.24,0.12
10,yenome,1.0,0.12,213.97,0.11
11,quantumly,1.0,0.11,110.86,0.13
12,Web3 Tourist,1.0,0.07,118.57,0.11
13,Jun_The_Scammer,1.0,0.34,221.9,0.15
14,Waltzyn,1.0,0.09,134.56,0.11
15,yohan,1.0,0.03,107.94,0.11
16,pres_byter,1.0,0.23,62.66,0.21
17,Jet86,0.999,0.09,54.91,0.13
18,Thinktwice,0.998,0.06,131.88,0.07
19,Dr.Strange,0.998,0.08,94.49,0.09
20,OpelxFrost,0.997,0.2,146.01,0.15
21,Aquila,0.996,0.15,55.16,0.11
22,euroanchor,0.994,0.16,78.54,0.16
23,seren,0.993,0.02,65.98,0.09
24,gamedazed,0.993,0.1,35.04,0.2
25,FloppaBoba,0.99,0.11,156.43,0.09
26,shaners42,0.983,0.06,48.61,0.12
27,the one,0.818,0.19,98.68,0.09
28,challa,0.755,0.08,5.26,0.15
29,bobafett,0.752,0.15,38.65,0.13
30,TheOneThatNose,0.644,0.08,20.27,0.17
31,justin,0.628,0.04,69.79,0.11
32,nectarsac,0.584,0.13,13.6,0.16
33,tralan,0.466,0.22,14.29,0.15
34,Wandergard,0.466,0.05,30.88,0.17
35,BruceLee,0.414,0.06,92.81,0.11
36,Loth111,0.304,0.19,9.57,0.18
37,galand,0.229,0.12,1.58,0.08
38,Bhagavantamanaszankhana,0.227,0.06,16.08,0.11
39,K1nG,0.222,0.16,28.34,0.13
40,blade,0.208,0.18,20.37,0.14
41,Slavik,0.204,0.06,116.36,0.13
42,zacky,0.137,0.04,47.92,0.09
43,marc0__0,0.131,0.23,22.79,0.15
44,Yakov Buzaglo | Apexultras,0.106,0.12,112.05,0.07
45,Irida,0.088,0.37,28.82,0.15
46,Xneth,0.064,0.07,8.45,0.15
47,JackieChan,0.057,0.0,69.47,0.09
48,MountainHunter,0.055,0.09,2.13,0.17
49,CaiCai,0.051,0.14,75.0,0.09
50,S V,0.05,0.0,2.88,0.15
51,bread700,0.049,0.06,67.24,0.07
52,iLoveLobster,0.046,0.07,65.12,0.09
53,VNebConsult,0.041,0.18,20.12,0.15
54,romainlekidz,0.03,0.35,11.44,0.11
55,0xemre,0.028,0.0,0.66,0.22
56,EAOE,0.025,0.0,10.16,0.18
57,ReD,0.024,0.0,0.2,0.19
58,Ino | Boba,0.023,0.0,2.84,0.16
59,StopCountingLikes,0.02,0.0,0.61,0.18
60,Luffe,0.02,0.24,30.08,0.14
61,KelvinTheDraco,0.018,0.14,12.42,0.13
62,Jackspot,0.015,0.0,0.96,0.11
63,StockRup,0.015,0.14,51.15,0.16
64,Bubba,0.015,0.26,105.19,0.09
65,jobo,0.015,0.08,13.41,0.18
66,fishtacos,0.014,0.0,0.6,0.07
67,umami,0.01,0.0,0.57,0.23
68,Rushi,0.009,0.09,62.77,0.1
69,-popp-,0.009,0.1,1.96,0.12
70,Imran,0.008,0.0,0.22,0.09
71,Parzival,0.008,0.09,25.56,0.15
72,Epic Chicken,0.008,0.06,3.84,0.15
73,GorillaMuffin,0.006,0.31,6.35,0.11
74,KryptoKnight,0.005,0.0,0.33,0.45
75,lovetooth,0.004,0.08,98.31,0.09
76,cryptoshack,0.004,0.09,5.15,0.09
77,geph,0.004,0.0,0.2,0.09
78,chiwalfrm,0.003,0.22,6.45,0.17
79,AC,0.003,0.14,1.59,0.15
80,diego fusco,0.003,0.02,75.45,0.09
81,Mountainlion,0.003,0.0,4.44,0.25
82,solocarrie,0.003,0.12,3.68,0.11
83,WhatNot23,0.003,0.05,12.46,0.15
84,Robby,0.002,0.14,30.21,0.09
85,Boyuan,0.002,0.14,4.61,0.13
86,Arthur_Morgan,0.002,0.09,5.05,0.09
87,micz,0.002,0.0,0.45,0.07
88,Seth Jeong,0.002,0.0,0.23,0.11
89,Lyon King,0.002,0.0,1.07,0.17
90,sud,0.002,0.0,0.45,0.18
91,orange123123123,0.002,0.19,29.77,0.11
92,Prozerran,0.002,0.17,2.7,0.12
93,bojan_,0.002,0.24,10.58,0.11
94,sameer,0.002,0.0,27.01,0.09
95,Bumpy Bunny,0.002,0.13,40.59,0.09
96,kritz009,0.002,0.0,0.23,0.09
97,oatman,0.002,0.17,25.18,0.15
98,Enka,0.001,0.15,77.94,0.13
99,Hua,0.001,0.36,4.4,0.16
100,Camille | DeFi Teller,0.001,0.0,1.61,0.61
101,hodl2star,0.001,0.06,6.79,0.09
102,WolfPG,0.001,0.0,4.34,0.09
103,mavans922,0.001,0.04,8.52,0.16
104,ihatetowalk,0.001,0.08,26.47,0.17
105,ROBONERD,0.001,0.27,17.33,0.11
106,xxxxxxx,0.001,0.0,1.78,0.17
107,Sleeper,0.001,0.07,9.57,0.11
108,blend,0.001,0.0,6.77,0.19
109,iffi,0.001,0.0,0.7,0.15
110,guentherwantstoknowthat,0.001,0.0,0.45,0.27
111,Lokis,0.001,0.11,4.14,0.1
112,hendrik,0.001,0.1,67.65,0.07
113,RyanB,0.001,0.05,6.17,0.11
114,0xT4iL,0.001,0.0,5.84,0.15
115,No No,0.001,0.0,0.98,0.07
116,AddictiveRat,0.0,0.0,0.2,0.14
117,pakito,0.0,0.03,66.32,0.11
118,Avo,0.0,0.0,3.7,0.18
119,Robdog,0.0,0.12,9.26,0.15
120,gus,0.0,0.19,5.39,0.18
121,deeza,0.0,0.0,1.11,0.46
122,MRKM the designer,0.0,0.0,0.2,0.07
123,userlothbrok,0.0,0.04,33.73,0.15
124,Elvie,0.0,0.0,0.2,0.07
125,CAPtheorem,0.0,0.0,0.22,0.22
126,BoBafan,0.0,0.04,7.67,0.15
127,jaehomersimpson,0.0,0.04,24.06,0.12
128,TheSued,0.0,0.1,20.06,0.09
129,joebot5000,0.0,0.22,5.28,0.16
130,frogdog,0.0,0.29,2.13,0.09
131,Paul - Vorz,0.0,0.0,2.24,0.11
132,nooblus,0.0,0.23,19.42,0.13
133,CryptoVincenzo,0.0,0.09,11.85,0.17
134,animate,0.0,0.0,32.61,0.13
135,nwaylan,0.0,0.0,1.27,0.15
136,Felipe MundoCrypto,0.0,0.0,1.45,0.52
137,{BB},0.0,0.31,21.6,0.13
138,thenursegreg,0.0,0.08,14.45,0.14
139,ifreuds,0.0,0.0,1.56,0.2
140,TDB,0.0,0.0,0.44,0.08
141,Mr.Fantastic,0.0,0.05,41.05,0.09
142,Alexandros,0.0,0.0,0.22,0.0
143,ronk,0.0,0.09,69.63,0.09
144,bongador,0.0,0.0,1.03,0.52
145,I am a Fractal,0.0,0.0,3.75,0.19
146,Gremblo,0.0,0.0,1.43,0.28
147,Le0,0.0,0.08,58.54,0.08
148,idris,0.0,0.24,4.95,0.13
149,Anas,0.0,0.0,0.22,0.0
150,MaybeAnarchy,0.0,0.0,7.43,0.15
151,Pepe4Eva,0.0,0.1,12.0,0.11
152,gr8wxl,0.0,0.0,1.36,0.28
153,Daco igmu,0.0,0.0,0.69,0.15
154,pinkathon420,0.0,0.0,0.39,0.34
155,niels,0.0,0.25,0.79,0.12
156,Pure Ape,0.0,0.0,3.1,0.13
157,FireKnight,0.0,0.0,2.63,0.13
158,Lowballer356 (2X),0.0,0.09,18.52,0.09
159,berserk,0.0,0.0,0.94,0.26
160,jlee225,0.0,0.17,2.63,0.15
161,rageser | 1k ETH,0.0,0.11,8.68,0.17
162,Arturito,0.0,0.06,45.71,0.11
163,otogbo222,0.0,0.0,1.61,0.09
164,inspector_gadget,0.0,0.0,0.8,0.25
165,gummies,0.0,0.0,2.62,0.11
166,shopak02,0.0,0.0,0.36,0.29
167,coco,0.0,0.0,2.49,0.13
168,PHUCKER,0.0,0.19,9.59,0.14
169,nullbitx8,0.0,0.0,1.54,0.18
170,Leb_Dumbs,0.0,0.0,1.24,0.16
171,kep.k,0.0,0.25,1.5,0.22
172,☀ 尺ﾑ,0.0,0.25,32.32,0.14
173,yola,0.0,0.36,15.64,0.13
174,nnnn,0.0,0.0,2.46,0.15
175,gamebak,0.0,0.19,50.75,0.15
176,deviaaaaa,0.0,0.04,29.41,0.09
177,Ghadi,0.0,0.0,2.5,0.21
178,Asbjørn,0.0,0.0,1.55,0.18
179,SliceOfKekus,0.0,0.17,27.27,0.12
180,!Slothify!,0.0,0.17,8.52,0.15
181,dropofsorrow,0.0,0.0,2.58,0.11
182,zZN13TZSCH3Zz,0.0,0.25,2.88,0.12
183,invtraveler,0.0,0.0,0.33,0.27
184,captcook,0.0,0.17,1.86,0.17
185,ChillinTrippin,0.0,0.0,1.14,0.28
186,Sn0w,0.0,0.0,0.33,0.09
187,jayjay2203,0.0,0.0,3.22,0.13
188,PickledNewtons,0.0,0.6,0.97,0.16
189,Curiosity,0.0,0.07,10.31,0.13
190,Kenzo,0.0,0.0,4.98,0.07
191,Ayy,0.0,0.3,10.76,0.15
192,BigFarma.eth,0.0,0.0,1.02,0.17
193,Praveen,0.0,0.0,0.34,0.09
194,Alex07,0.0,0.42,18.38,0.13
195,bananaudon66,0.0,0.12,7.31,0.11
196,copacetic.boba,0.0,0.2,1.21,0.19
197,NoobVader,0.0,0.08,25.0,0.09
198,airman,0.0,0.1,2.42,0.12
199,cuba,0.0,0.12,2.61,0.08
200,andrevv,0.0,0.0,0.76,0.21
201,Sinansavas,0.0,0.06,21.99,0.07
202,DontPanicBurns | Chippr Bots,0.0,0.0,2.15,0.16
203,IronGabe,0.0,0.03,36.84,0.11
204,Count Da Monay,0.0,0.12,2.67,0.1
205,R H,0.0,0.14,8.06,0.19
206,rt60,0.0,0.0,0.31,0.07
207,8UND1E5,0.0,0.12,15.81,0.15
208,tayezz,0.0,0.2,4.67,0.18
209,bozo.eth,0.0,0.08,9.54,0.13
210,Walter,0.0,0.13,41.67,0.11
211,rvnlord,0.0,0.0,2.88,0.23
212,dieselx42,0.0,0.0,0.28,0.17
213,Navid,0.0,0.0,33.33,0.14
214,Dhaniel,0.0,0.16,70.83,0.09
215,ya_machina,0.0,0.0,0.38,0.28
216,Brian,0.0,0.0,1.53,0.15
217,HD,0.0,0.0,0.36,0.09
